timestamp,back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,label
2019-01-12 00:00:00.000,-1.1088870000000002,0.057861,-0.076904,-1.396973,-0.327148,-0.141846,6
2019-01-12 00:00:00.020,-1.054932,0.073486,-0.11377,-1.363281,-0.386475,-0.321533,6
2019-01-12 00:00:00.040,-0.911377,-0.007568,-0.160156,-1.080078,-0.09668,-0.354492,6
2019-01-12 00:00:00.060,-0.8652340000000001,-0.0625,-0.176025,-1.012939,0.163574,-0.229736,6
2019-01-12 00:00:00.080,-0.99292,-0.026123,-0.178467,-0.989014,0.199951,-0.088379,6
2019-01-12 00:00:00.100,-1.033203,0.011475,-0.1521,-1.087646,0.045166,-0.016113,6
2019-01-12 00:00:00.120,-0.975586,-0.02002,-0.069824,-1.149658,-0.137939,0.059326,6
2019-01-12 00:00:00.140,-0.987305,-0.0622559999999999,0.001465,-1.050537,-0.151123,0.146973,6
2019-01-12 00:00:00.160,-1.0234379999999998,-0.060547,0.025391,-0.991211,-0.082275,0.1569819999999999,6
2019-01-12 00:00:00.180,-1.007568,-0.030762,0.001465,-0.951904,-0.101807,0.162354,6
2019-01-12 00:00:00.200,-0.996094,-0.007568,-0.02124,-0.993652,-0.151367,0.091064,6
2019-01-12 00:00:00.220,-1.008301,0.020752,-0.056152,-1.026367,-0.173584,-0.007568,6
2019-01-12 00:00:00.240,-1.019287,0.028076,-0.093994,-1.076416,-0.1318359999999999,-0.046875,6
2019-01-12 00:00:00.260,-1.008789,0.004883,-0.086426,-1.063477,-0.035645,-0.017334,6
2019-01-12 00:00:00.280,-0.991455,-0.001465,-0.076416,-1.047119,-0.000488,-0.000244,6
2019-01-12 00:00:00.300,-0.973389,0.0,-0.078125,-1.046875,0.0,0.0,6
2019-01-12 00:00:00.320,-0.969482,-0.002197,-0.080322,-1.031006,-0.031738,0.015869,6
2019-01-12 00:00:00.340,-0.95874,0.011963,-0.070557,-1.03125,-0.0634769999999999,0.047119,6
2019-01-12 00:00:00.360,-0.949463,0.006836,-0.053467,-1.030518,-0.078613,0.030518,6
2019-01-12 00:00:00.380,-0.960938,-0.001221,-0.0329589999999999,-1.015625,-0.077148,0.03125,6
2019-01-12 00:00:00.400,-0.977783,0.0,-0.040527,-1.031982,-0.059326,0.030029,6
2019-01-12 00:00:00.420,-0.998291,0.0,-0.047852,-1.032471,-0.027588,0.0144039999999999,6
2019-01-12 00:00:00.440,-0.98999,0.0,-0.049072,-1.050049,-0.01416,0.013916,6
2019-01-12 00:00:00.460,-0.983398,0.0,-0.035645,-1.060059,-0.015137,-0.001465,6
2019-01-12 00:00:00.480,-0.986572,0.0,-0.030273,-1.02832,-0.019531,0.001465,6
2019-01-12 00:00:00.500,-0.970459,0.0,-0.03125,-1.028564,-0.052002,0.021484,6
2019-01-12 00:00:00.520,-0.979736,0.0,-0.029053,-1.016357,-0.069824,0.052979,6
2019-01-12 00:00:00.540,-0.982666,0.0,-0.043213,-1.032959,-0.094971,0.06543,6
2019-01-12 00:00:00.560,-0.998535,0.001953,-0.045166,-1.03125,-0.072998,0.052734,6
2019-01-12 00:00:00.580,-0.988037,-0.012207,-0.0612789999999999,-1.03125,-0.060791,0.012207,6
2019-01-12 00:00:00.600,-0.983887,-0.017822,-0.04834,-1.030518,-0.060059,0.038086,6
2019-01-12 00:00:00.620,-0.984375,-0.000732,-0.059082,-1.034912,-0.036865,0.040527,6
2019-01-12 00:00:00.640,-0.982422,-0.012695,-0.064453,-1.049805,-0.008789,0.015137,6
2019-01-12 00:00:00.660,-0.997559,-0.015869,-0.049072,-1.043213,-0.027588,0.031738,6
2019-01-12 00:00:00.680,-1.001709,-0.01709,-0.044922,-1.024414,-0.0737299999999999,0.039307,6
2019-01-12 00:00:00.700,-0.984619,-0.001709,-0.060547,-1.013184,-0.082275,0.071777,6
2019-01-12 00:00:00.720,-0.998047,0.001465,-0.0625,-1.014404,-0.067871,0.080322,6
2019-01-12 00:00:00.740,-1.001221,-0.01416,-0.0612789999999999,-1.020752,-0.041016,0.080322,6
2019-01-12 00:00:00.760,-0.985596,-0.015625,-0.07666,-1.033447,-0.052246,0.066895,6
2019-01-12 00:00:00.780,-0.984131,-0.015625,-0.078125,-1.032471,-0.064697,0.043457,6
2019-01-12 00:00:00.800,-0.984375,-0.015625,-0.078125,-1.023682,-0.0625,0.039307,6
2019-01-12 00:00:00.820,-0.984375,-0.015625,-0.078125,-1.019531,-0.0625,0.035156,6
2019-01-12 00:00:00.840,-0.984375,-0.015625,-0.078369,-1.033447,-0.0625,0.047363,6
2019-01-12 00:00:00.860,-0.984375,-0.015625,-0.0625,-1.032715,-0.0625,0.053467,6
2019-01-12 00:00:00.880,-0.984375,-0.015625,-0.0625,-1.02417,-0.064209,0.064453,6
2019-01-12 00:00:00.900,-0.984375,-0.015625,-0.0625,-1.013428,-0.055176,0.060547,6
2019-01-12 00:00:00.920,-0.984375,-0.015625,-0.0625,-1.015625,-0.044678,0.066162,6
2019-01-12 00:00:00.940,-0.984375,-0.015625,-0.0625,-1.015625,-0.046875,0.095459,6
2019-01-12 00:00:00.960,-0.984375,-0.015625,-0.0625,-1.015625,-0.044678,0.116943,6
2019-01-12 00:00:00.980,-0.984375,-0.015625,-0.0622559999999999,-1.015625,-0.052979,0.092773,6
2019-01-12 00:00:01.000,-0.984375,-0.015625,-0.063721,-1.017578,-0.07251,0.072266,6
2019-01-12 00:00:01.020,-0.984375,-0.015625,-0.081055,-1.0046389999999998,-0.083984,0.08667,6
2019-01-12 00:00:01.040,-0.984375,-0.013428,-0.093262,-1.00708,-0.0622559999999999,0.095215,6
2019-01-12 00:00:01.060,-0.984131,-0.000732,-0.076172,-1.012695,-0.032227,0.09375,6
2019-01-12 00:00:01.080,-0.986816,-0.014648,-0.080322,-1.034424,-0.04126,0.098145,6
2019-01-12 00:00:01.100,-0.999023,-0.000732,-0.095459,-1.049561,-0.036133,0.078857,6
2019-01-12 00:00:01.120,-0.982422,-0.017334,-0.09375,-1.044434,-0.039795,0.042236,6
2019-01-12 00:00:01.140,-0.984375,-0.015625,-0.093994,-1.059326,-0.048096,0.016113,6
